id,PS_mean_mfcc_0,PS_mean_mfcc_1,PS_mean_mfcc_2,PS_mean_mfcc_3,PS_mean_mfcc_4,PS_mean_mfcc_5,PS_mean_mfcc_6,PS_mean_mfcc_7,PS_mean_mfcc_8,PS_mean_mfcc_9,PS_mean_mfcc_10,PS_mean_mfcc_11,BS_mean_mfcc_0,BS_mean_mfcc_1,BS_mean_mfcc_2,BS_mean_mfcc_3,BS_mean_mfcc_4,BS_mean_mfcc_5,BS_mean_mfcc_6,BS_mean_mfcc_7,BS_mean_mfcc_8,BS_mean_mfcc_9,BS_mean_mfcc_10,BS_mean_mfcc_11,PS_mean_centroid,BS_mean_centroid,
HA003,-748.563964844,114.881668091,-20.9619808197,-32.6306800842,-41.5220718384,-47.7015991211,-37.9753684998,-35.9867362976,-32.7978096008,-19.7384681702,-17.9882450104,-15.1982517242,-811.638427734,164.237823486,-23.5686912537,-29.4192504883,-34.2555007935,-49.0032806396,-32.0007858276,-29.6619091034,-32.1152801514,-22.4335002899,-16.054227829,-16.4770774841,0.151438394577,0.0712997834804,
HA004,-670.013183594,142.004302979,-14.1009759903,-31.5108470917,-32.7589874268,-48.0351295471,-44.6366729736,-34.8252639771,-33.5272827148,-26.0543670654,-19.3492126465,-14.845656395,-735.631774902,180.701721191,-23.5180892944,-31.762834549,-29.2286911011,-45.774936676,-37.6979904175,-34.2991447449,-33.757686615,-26.0116443634,-19.1602306366,-16.1211338043,0.125773306119,0.0697445404262,
HA005,-702.017333984,120.537338257,-13.7639446259,-30.3692245483,-39.1495933533,-49.4796447754,-37.4496879578,-32.9063911438,-33.7306861877,-23.4017715454,-19.0183048248,-16.1955394745,-815.745544434,163.365921021,-21.9731216431,-27.8466587067,-31.1709213257,-47.6914176941,-32.4922904968,-29.2174072266,-33.0168609619,-24.2209014893,-17.0841903687,-16.4445304871,0.152738175047,0.0727310249881,
HA006,-701.327148438,123.790618896,-17.4893836975,-27.1274375916,-37.0341186523,-55.9649505615,-45.3735923767,-33.6139717102,-31.1968402863,-22.0161113739,-19.0074386597,-17.8748054504,-893.334472656,143.057434082,-5.41646432877,-19.5558547974,-26.3127403259,-44.4931335449,-34.38829422,-27.9023971558,-29.7034835815,-22.7548656464,-15.7159862518,-16.1727428436,0.139130388478,0.0782345402844,
HA007,-782.741516113,129.673019409,-31.4333152771,-34.5728759766,-30.5150947571,-53.8004379272,-40.6307487488,-23.0821285248,-24.5378742218,-21.2087993622,-16.7812042236,-14.2938194275,-982.424560547,132.696166992,2.74969649315,-27.9525642395,-20.045791626,-35.0102272034,-36.6305656433,-19.3775596619,-15.7156085968,-20.046710968,-15.2267255783,-10.3372049332,0.128871690306,0.0773333935766,
HA008,-738.415405273,135.119186401,-26.143995285,-20.1123027802,-33.3951873779,-51.9088783264,-40.1065063477,-32.9364051819,-34.0976600647,-23.9465045929,-19.4522857666,-16.1491985321,-759.516418457,172.365264893,-33.7372665405,-20.6406707764,-31.5074977875,-55.2282829285,-38.2961273193,-34.4589767456,-34.9623680115,-25.5869522095,-18.0064239502,-17.8470020294,0.124264804836,0.0731536451168,
ED001,-713.696533203,140.38104248,-25.9169845581,-28.4724159241,-43.3666954041,-53.6767730713,-30.3648338318,-33.6646270752,-37.5288162231,-18.5195102692,-15.9188737869,-20.3961486816,-744.552978516,180.907455444,-54.2840270996,-33.1592559814,-42.9166641235,-59.9084129333,-25.0228652954,-33.7462310791,-39.1508216858,-17.0795841217,-15.5674505234,-22.3771972656,0.118090151814,0.0753586343954,
ED003,-718.247558594,123.531074524,-85.9780960083,-27.0601444244,-19.0468273163,-60.7377243042,-30.5591430664,-23.2362632751,-32.7273712158,-24.3589324951,-10.1913061142,-13.7245140076,-906.155090332,126.931221008,-44.3005447388,-26.0062427521,-15.8858966827,-49.1593475342,-30.9476413727,-15.9334831238,-25.3485946655,-19.8318691254,-6.60382652283,-11.3541574478,0.113195399014,0.0983087479279,
ED005,-646.983032227,118.883773804,-24.6312007904,-17.7438850403,-34.0429801941,-55.046005249,-43.9216651917,-39.4210090637,-36.2294464111,-23.609336853,-18.8426818848,-14.9108867645,-665.628051758,178.301864624,-44.4110908508,-17.9381523132,-36.1207199097,-59.1755638123,-38.9327354431,-40.8544464111,-35.3002929688,-23.7591819763,-18.5117149353,-16.0117931366,0.144814985333,0.0736026543459,
ED006,-739.977966309,135.620162964,-14.5187950134,-17.0885467529,-45.3437690735,-57.4457588196,-23.3842182159,-35.2248764038,-41.0056343079,-17.848323822,-14.6470680237,-24.4861106873,-783.148864746,157.086624146,-21.1931152344,-12.0435171127,-43.6457366943,-59.9496955872,-21.2975673676,-33.2364387512,-39.8110694885,-15.2556238174,-12.2824296951,-24.4656982422,0.113590690708,0.0819367430242,
ED007,-671.602478027,127.040161133,-45.9773635864,-33.1159515381,-49.9097633362,-51.586063385,-37.9567909241,-37.4191436768,-27.203163147,-14.2944164276,-21.2777004242,-23.1256141663,-660.689758301,172.890106201,-60.1735038757,-25.0098991394,-48.0297393799,-56.7803001404,-35.4182052612,-40.1853904724,-27.9962272644,-15.2588262558,-20.0501766205,-28.1736812592,0.125897278153,0.0775966879285,
ED008,-730.401428223,151.678237915,-26.8213253021,-25.4971218109,-49.8937950134,-59.8217849731,-36.2867889404,-39.2734184265,-37.1561813354,-17.4641628265,-16.6448230743,-17.9038028717,-758.926330566,183.640182495,-29.344909668,-28.356628418,-49.0846633911,-58.1629829407,-32.9553642273,-39.400062561,-36.8986778259,-16.7167034149,-16.6718215942,-18.8673877716,0.097837778577,0.0683044890386,
